WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1000,minute.maid,19965,1,2.49,49712.85000000001
1992-06-04,1000,minute.maid,17064,1,2.67,45560.88
1992-06-11,1000,minute.maid,11574,1,2.5,28935.0
1992-06-18,1000,minute.maid,17394,1,2.24,38962.56000000001
1992-06-25,1000,minute.maid,14556,1,2.13,31004.28
1992-07-02,1000,minute.maid,15994,1,2.64,42224.16
1992-07-09,1000,minute.maid,19403,1,2.64,51223.92000000001
1992-07-16,1000,minute.maid,19533,1,2.42,47269.86
1992-07-23,1000,minute.maid,17871,1,2.57,45928.47
1992-07-30,1000,minute.maid,10996,1,2.34,25730.64
1992-08-06,1000,minute.maid,11751,1,1.95,22914.45
1992-08-13,1000,minute.maid,12345,1,2.04,25183.8
1992-08-20,1000,minute.maid,16705,1,2.3,38421.5
1992-08-27,1000,minute.maid,13365,1,2.56,34214.4
1992-09-03,1000,minute.maid,14933,1,2.25,33599.25
1992-09-10,1000,minute.maid,14361,1,2.33,33461.130000000005
1992-09-17,1000,minute.maid,9207,1,2.36,21728.52
1992-09-24,1000,minute.maid,16742,1,1.99,33316.58
1992-10-01,1000,minute.maid,16103,1,2.03,32689.09
