WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1000,tropicana,14023,1,2.53,35478.189999999995
1992-06-04,1000,tropicana,10589,1,2.14,22660.460000000006
1992-06-11,1000,tropicana,9633,1,2.5,24082.5
1992-06-18,1000,tropicana,15789,1,2.27,35841.03
1992-06-25,1000,tropicana,19008,1,2.42,45999.36
1992-07-02,1000,tropicana,18524,1,2.21,40938.04
1992-07-09,1000,tropicana,17536,1,2.65,46470.4
1992-07-16,1000,tropicana,11434,1,2.08,23782.72
1992-07-23,1000,tropicana,14728,1,2.06,30339.68
1992-07-30,1000,tropicana,17457,1,2.27,39627.39
1992-08-06,1000,tropicana,16377,1,2.48,40614.96
1992-08-13,1000,tropicana,19660,1,2.22,43645.2
1992-08-20,1000,tropicana,10846,1,2.24,24295.04
1992-08-27,1000,tropicana,11198,1,2.19,24523.62
1992-09-03,1000,tropicana,15013,1,2.62,39334.06000000001
1992-09-10,1000,tropicana,16557,1,1.91,31623.87
1992-09-17,1000,tropicana,18281,1,2.33,42594.73
1992-09-24,1000,tropicana,15442,1,2.65,40921.3
1992-10-01,1000,tropicana,12893,1,2.18,28106.74
