WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1001,dominicks,12736,1,2.37,30184.32
1992-06-04,1001,dominicks,17512,1,2.28,39927.359999999986
1992-06-11,1001,dominicks,17769,1,2.18,38736.42000000001
1992-06-18,1001,dominicks,17825,1,2.64,47058.0
1992-06-25,1001,dominicks,11105,1,2.02,22432.1
1992-07-02,1001,dominicks,15763,1,1.97,31053.11
1992-07-09,1001,dominicks,10904,1,2.33,25406.32
1992-07-16,1001,dominicks,16153,1,2.27,36667.31
1992-07-23,1001,dominicks,14260,1,2.03,28947.8
1992-07-30,1001,dominicks,9284,1,2.67,24788.28
1992-08-06,1001,dominicks,9196,1,2.67,24553.32
1992-08-13,1001,dominicks,15150,1,2.18,33027.0
1992-08-20,1001,dominicks,15559,1,1.93,30028.87
1992-08-27,1001,dominicks,14271,1,2.11,30111.81
1992-09-03,1001,dominicks,12303,1,2.61,32110.83
1992-09-10,1001,dominicks,15320,1,1.92,29414.4
1992-09-17,1001,dominicks,16191,1,2.01,32543.91
1992-09-24,1001,dominicks,18776,1,2.26,42433.76
1992-10-01,1001,dominicks,11265,1,2.25,25346.25
