WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1000,minute.maid,11381,1,2.55,29021.55
1990-06-21,1000,minute.maid,15100,1,2.39,36089.0
1990-06-28,1000,minute.maid,12101,1,2.01,24323.01
1990-07-05,1000,minute.maid,13007,1,2.6,33818.200000000004
1990-07-12,1000,minute.maid,17329,1,1.9,32925.1
1990-07-19,1000,minute.maid,15246,1,2.14,32626.44
1990-07-26,1000,minute.maid,19581,1,2.19,42882.39
1990-08-02,1000,minute.maid,10468,1,2.55,26693.4
1990-08-09,1000,minute.maid,9835,1,2.65,26062.75
1990-08-16,1000,minute.maid,18708,1,2.39,44712.12
1990-08-23,1000,minute.maid,12260,1,2.49,30527.4
1990-08-30,1000,minute.maid,19982,1,2.12,42361.84
1990-09-06,1000,minute.maid,14533,1,2.65,38512.45
1990-09-13,1000,minute.maid,19573,1,2.29,44822.17
1990-09-20,1000,minute.maid,10380,1,1.91,19825.8
1990-09-27,1000,minute.maid,16397,1,2.32,38041.04
1990-10-04,1000,minute.maid,17302,1,2.08,35988.16
1990-10-11,1000,minute.maid,11450,1,2.33,26678.5
1990-10-18,1000,minute.maid,15860,1,2.24,35526.4
1990-10-25,1000,minute.maid,19169,1,2.08,39871.52
1990-11-01,1000,minute.maid,16379,1,2.15,35214.85
1990-11-08,1000,minute.maid,16347,1,2.06,33674.82
1990-11-15,1000,minute.maid,14607,1,1.95,28483.65
1990-11-22,1000,minute.maid,10604,1,2.08,22056.32
1990-11-29,1000,minute.maid,9036,1,2.49,22499.640000000007
1990-12-06,1000,minute.maid,19073,1,2.5,47682.5
1990-12-13,1000,minute.maid,15642,1,2.51,39261.42
1990-12-20,1000,minute.maid,14185,1,2.11,29930.35
1990-12-27,1000,minute.maid,10569,1,2.05,21666.45
1991-01-03,1000,minute.maid,18276,1,2.12,38745.12
1991-01-10,1000,minute.maid,10338,1,2.6,26878.8
1991-01-17,1000,minute.maid,10237,1,2.16,22111.92
1991-01-24,1000,minute.maid,19608,1,2.24,43921.92000000001
1991-01-31,1000,minute.maid,11430,1,2.49,28460.7
1991-02-07,1000,minute.maid,17268,1,2.28,39371.039999999986
1991-02-14,1000,minute.maid,18046,1,1.93,34828.78
1991-02-21,1000,minute.maid,9796,1,1.97,19298.12
1991-02-28,1000,minute.maid,19855,1,2.62,52020.1
1991-03-07,1000,minute.maid,13771,1,2.24,30847.040000000005
1991-03-14,1000,minute.maid,17922,1,2.09,37456.98
1991-03-21,1000,minute.maid,19994,1,1.93,38588.42
1991-03-28,1000,minute.maid,14621,1,2.54,37137.34
1991-04-04,1000,minute.maid,14454,1,2.24,32376.960000000006
1991-04-11,1000,minute.maid,16663,1,2.14,35658.82
1991-04-18,1000,minute.maid,13071,1,2.37,30978.27
1991-04-25,1000,minute.maid,18609,1,2.64,49127.76
1991-05-02,1000,minute.maid,13364,1,2.15,28732.6
1991-05-09,1000,minute.maid,14235,1,2.25,32028.75
1991-05-16,1000,minute.maid,12130,1,2.27,27535.1
1991-05-23,1000,minute.maid,16136,1,1.9,30658.4
1991-05-30,1000,minute.maid,15361,1,1.91,29339.51
1991-06-06,1000,minute.maid,12645,1,2.53,31991.85
1991-06-13,1000,minute.maid,14666,1,2.42,35491.72
1991-06-20,1000,minute.maid,15401,1,2.52,38810.52
1991-06-27,1000,minute.maid,11594,1,2.63,30492.22
1991-07-04,1000,minute.maid,18763,1,2.46,46156.98
1991-07-11,1000,minute.maid,15097,1,1.93,29137.21
1991-07-18,1000,minute.maid,18410,1,2.04,37556.4
1991-07-25,1000,minute.maid,12874,1,2.64,33987.36
1991-08-01,1000,minute.maid,15820,1,2.46,38917.2
1991-08-08,1000,minute.maid,14727,1,2.32,34166.64
1991-08-15,1000,minute.maid,10325,1,2.3,23747.5
1991-08-22,1000,minute.maid,19097,1,2.6,49652.2
1991-08-29,1000,minute.maid,15550,1,2.34,36387.0
1991-09-05,1000,minute.maid,12023,1,2.02,24286.46
1991-09-12,1000,minute.maid,16138,1,2.63,42442.94
1991-09-19,1000,minute.maid,19728,1,2.12,41823.36
1991-09-26,1000,minute.maid,18329,1,2.28,41790.12
1991-10-03,1000,minute.maid,18779,1,2.56,48074.24
1991-10-10,1000,minute.maid,9382,1,2.12,19889.84
1991-10-17,1000,minute.maid,10810,1,2.43,26268.300000000007
1991-10-24,1000,minute.maid,11273,1,2.09,23560.57
1991-10-31,1000,minute.maid,12189,1,2.33,28400.370000000006
1991-11-07,1000,minute.maid,17287,1,2.0,34574.0
1991-11-14,1000,minute.maid,12431,1,2.03,25234.93
1991-11-21,1000,minute.maid,14236,1,2.63,37440.68
1991-11-28,1000,minute.maid,16056,1,2.58,41424.48
1991-12-05,1000,minute.maid,19121,1,2.69,51435.49
1991-12-12,1000,minute.maid,9442,1,2.46,23227.32
1991-12-19,1000,minute.maid,11547,1,2.62,30253.14
1991-12-26,1000,minute.maid,11841,1,2.14,25339.74
1992-01-02,1000,minute.maid,16620,1,1.99,33073.8
1992-01-09,1000,minute.maid,14436,1,1.99,28727.64
1992-01-16,1000,minute.maid,10530,1,2.65,27904.5
1992-01-23,1000,minute.maid,9293,1,2.35,21838.55
1992-01-30,1000,minute.maid,15662,1,2.57,40251.34
1992-02-06,1000,minute.maid,11769,1,2.54,29893.26
1992-02-13,1000,minute.maid,15365,1,1.97,30269.05
1992-02-20,1000,minute.maid,15916,1,2.36,37561.76
1992-02-27,1000,minute.maid,11578,1,2.63,30450.14
1992-03-05,1000,minute.maid,17523,1,2.26,39601.98
1992-03-12,1000,minute.maid,14892,1,2.12,31571.04
1992-03-19,1000,minute.maid,14885,1,2.52,37510.2
1992-03-26,1000,minute.maid,10894,1,2.6,28324.4
1992-04-02,1000,minute.maid,17223,1,2.27,39096.21
1992-04-09,1000,minute.maid,11282,1,2.42,27302.44
1992-04-16,1000,minute.maid,16399,1,2.17,35585.83
1992-04-23,1000,minute.maid,11730,1,2.61,30615.3
1992-04-30,1000,minute.maid,15995,1,2.54,40627.3
1992-05-07,1000,minute.maid,10928,1,2.01,21965.28
1992-05-14,1000,minute.maid,9958,1,2.29,22803.82
1992-05-21,1000,minute.maid,16343,1,2.38,38896.34
