WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1992-05-28,1003,dominicks,19216,1,1.97,37855.52
1992-06-04,1003,dominicks,15483,1,2.03,31430.49
1992-06-11,1003,dominicks,11897,1,2.35,27957.95
1992-06-18,1003,dominicks,12503,1,2.56,32007.68
1992-06-25,1003,dominicks,11853,1,2.38,28210.14
1992-07-02,1003,dominicks,14598,1,2.04,29779.92
1992-07-09,1003,dominicks,9250,1,2.29,21182.5
1992-07-16,1003,dominicks,12953,1,2.01,26035.53
1992-07-23,1003,dominicks,19963,1,2.06,41123.78
1992-07-30,1003,dominicks,9052,1,2.1,19009.2
1992-08-06,1003,dominicks,17574,1,2.53,44462.22
1992-08-13,1003,dominicks,19858,1,1.99,39517.42
1992-08-20,1003,dominicks,17279,1,2.24,38704.960000000014
1992-08-27,1003,dominicks,15232,1,2.36,35947.52
1992-09-03,1003,dominicks,10302,1,1.94,19985.88
1992-09-10,1003,dominicks,13502,1,2.16,29164.320000000003
1992-09-17,1003,dominicks,19644,1,2.67,52449.48
1992-09-24,1003,dominicks,13860,1,2.29,31739.4
1992-10-01,1003,dominicks,11040,1,1.99,21969.6
