WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1001,dominicks,12383,1,2.3,28480.9
1990-06-21,1001,dominicks,19572,1,2.25,44037.0
1990-06-28,1001,dominicks,13737,1,2.18,29946.660000000003
1990-07-05,1001,dominicks,11989,1,2.08,24937.120000000006
1990-07-12,1001,dominicks,17410,1,2.59,45091.9
1990-07-19,1001,dominicks,16838,1,2.19,36875.22
1990-07-26,1001,dominicks,10877,1,2.42,26322.34
1990-08-02,1001,dominicks,10825,1,2.65,28686.25
1990-08-09,1001,dominicks,15426,1,2.67,41187.42
1990-08-16,1001,dominicks,11622,1,2.24,26033.28
1990-08-23,1001,dominicks,18309,1,2.07,37899.63
1990-08-30,1001,dominicks,13555,1,2.33,31583.15
1990-09-06,1001,dominicks,18740,1,2.49,46662.60000000001
1990-09-13,1001,dominicks,14647,1,2.45,35885.15
1990-09-20,1001,dominicks,11637,1,2.36,27463.32
1990-09-27,1001,dominicks,13231,1,2.37,31357.47
1990-10-04,1001,dominicks,9831,1,2.3,22611.3
1990-10-11,1001,dominicks,15151,1,2.1,31817.1
1990-10-18,1001,dominicks,13215,1,2.53,33433.95
1990-10-25,1001,dominicks,17391,1,2.38,41390.58
1990-11-01,1001,dominicks,14562,1,2.57,37424.34
1990-11-08,1001,dominicks,19233,1,2.03,39042.99
1990-11-15,1001,dominicks,15531,1,2.66,41312.46
1990-11-22,1001,dominicks,13650,1,2.25,30712.5
1990-11-29,1001,dominicks,17185,1,2.03,34885.55
1990-12-06,1001,dominicks,17472,1,2.16,37739.52
1990-12-13,1001,dominicks,17450,1,2.31,40309.5
1990-12-20,1001,dominicks,19977,1,2.08,41552.16
1990-12-27,1001,dominicks,13402,1,2.02,27072.04
1991-01-03,1001,dominicks,14750,1,2.18,32155.000000000004
1991-01-10,1001,dominicks,9314,1,1.93,17976.02
1991-01-17,1001,dominicks,17021,1,2.66,45275.86
1991-01-24,1001,dominicks,13840,1,2.03,28095.2
1991-01-31,1001,dominicks,18198,1,2.12,38579.76
1991-02-07,1001,dominicks,11082,1,2.31,25599.42
1991-02-14,1001,dominicks,14652,1,2.04,29890.08
1991-02-21,1001,dominicks,18619,1,2.16,40217.04
1991-02-28,1001,dominicks,19532,1,2.49,48634.68000000001
1991-03-07,1001,dominicks,17263,1,2.11,36424.93
1991-03-14,1001,dominicks,13647,1,2.45,33435.15
1991-03-21,1001,dominicks,16866,1,2.24,37779.84
1991-03-28,1001,dominicks,11460,1,2.68,30712.800000000007
1991-04-04,1001,dominicks,17433,1,2.13,37132.29
1991-04-11,1001,dominicks,10694,1,2.21,23633.74
1991-04-18,1001,dominicks,14519,1,2.59,37604.21
1991-04-25,1001,dominicks,16521,1,2.61,43119.81
1991-05-02,1001,dominicks,11133,1,2.2,24492.6
1991-05-09,1001,dominicks,16756,1,2.07,34684.92
1991-05-16,1001,dominicks,15482,1,1.9,29415.8
1991-05-23,1001,dominicks,19279,1,2.26,43570.539999999986
1991-05-30,1001,dominicks,19930,1,2.08,41454.4
1991-06-06,1001,dominicks,17449,1,2.51,43796.99
1991-06-13,1001,dominicks,17928,1,2.36,42310.08
1991-06-20,1001,dominicks,12659,1,2.48,31394.32
1991-06-27,1001,dominicks,12569,1,2.29,28783.01
1991-07-04,1001,dominicks,15172,1,2.68,40660.96
1991-07-11,1001,dominicks,18706,1,2.58,48261.48
1991-07-18,1001,dominicks,18535,1,2.48,45966.8
1991-07-25,1001,dominicks,14743,1,2.21,32582.03
1991-08-01,1001,dominicks,16638,1,2.21,36769.98
1991-08-08,1001,dominicks,11671,1,2.3,26843.3
1991-08-15,1001,dominicks,12268,1,2.54,31160.72
1991-08-22,1001,dominicks,11761,1,2.45,28814.45
1991-08-29,1001,dominicks,13354,1,2.56,34186.24
1991-09-05,1001,dominicks,17958,1,2.27,40764.66
1991-09-12,1001,dominicks,13638,1,2.46,33549.48
1991-09-19,1001,dominicks,15531,1,2.24,34789.44
1991-09-26,1001,dominicks,10800,1,1.9,20520.0
1991-10-03,1001,dominicks,17026,1,2.23,37967.98
1991-10-10,1001,dominicks,18053,1,2.61,47118.33
1991-10-17,1001,dominicks,15127,1,2.51,37968.77
